orig_cfs_code,dest_cfs_code,truck,rail,water,air
0438060,36408,0.0,0.0,0.0,0.0
0438060,36464,0.0,0.0,0.0,0.0
0438060,3699999,0.0,0.0,0.0,0.0
0438060,37172,0.0,0.0,0.0,0.0
0438060,37268,415.0,0.0,0.0,0.0
0438060,37450,0.0,0.0,0.0,0.0
0438060,3799999,40.0,0.0,0.0,0.0
0438060,3899999,2.0,0.0,0.0,0.0
0438060,39178,118.0,0.0,0.0,10.0
0438060,39184,227.0,0.0,0.0,0.0
0438060,39198,30.0,0.0,0.0,0.0
0438060,39212,0.0,0.0,0.0,0.0
0438060,3999999,72.0,0.0,0.0,0.0
0438060,40416,37.0,0.0,0.0,0.0
0438060,40538,0.0,0.0,0.0,0.0
0438060,4099999,0.0,0.0,0.0,0.0
0438060,4138900,234.0,0.0,0.0,19.0
0438060,4199999,0.0,0.0,0.0,3.0
0438060,42428,53.0,0.0,0.0,0.0
0438060,42430,16.0,0.0,0.0,0.0
0438060,4299999,115.0,0.0,0.0,0.0
0438060,4439300,0.0,0.0,0.0,0.0
0438060,4516700,0.0,0.0,0.0,0.0
0438060,45273,0.0,0.0,0.0,0.0
0438060,4599999,6.0,0.0,0.0,0.0
0438060,4699999,0.0,0.0,0.0,0.0
0438060,4732820,26.0,0.0,0.0,0.0
0438060,47400,22.0,0.0,0.0,0.0
0438060,4799999,16.0,0.0,0.0,0.0
0438060,4812420,0.0,0.0,0.0,0.0
0438060,4813140,0.0,0.0,0.0,0.0
0438060,48204,0.0,0.0,0.0,0.0
0438060,48206,796.0,0.0,0.0,0.0
0438060,4821340,2374.0,0.0,0.0,0.0
0438060,48288,257.0,124.0,0.0,0.0
0438060,4829700,91.0,0.0,0.0,0.0
0438060,4841700,57.0,0.0,0.0,0.0
0438060,4899999,396.0,0.0,0.0,0.0
0438060,49482,943.0,0.0,0.0,0.0
0438060,4999999,194.0,0.0,0.0,0.0
0438060,5099999,27.0,0.0,0.0,0.0
0438060,5140060,0.0,0.0,0.0,1.0
0438060,5147260,0.0,0.0,0.0,0.0
0438060,51548,0.0,0.0,0.0,0.0
0438060,5199999,0.0,0.0,0.0,0.0
0438060,53500,506.0,0.0,0.0,127.0
0438060,5399999,0.0,0.0,0.0,0.0
0438060,5499999,16.0,0.0,0.0,0.0
0438060,55376,25.0,0.0,0.0,0.0
0438060,5599999,0.0,0.0,0.0,0.0
0438060,5699999,40.0,0.0,0.0,0.0
0446060,01142,0.0,0.0,0.0,0.0
0446060,01380,0.0,0.0,0.0,0.0
0446060,0199999,0.0,0.0,0.0,1.0
0446060,0438060,1342.0,801.0,0.0,0.0
0446060,0499999,0.0,0.0,0.0,0.0
0446060,0599999,0.0,0.0,0.0,0.0
0446060,06348,1207.0,0.0,0.0,0.0
0446060,06472,0.0,0.0,0.0,0.0
0446060,0641740,0.0,0.0,0.0,0.0
0446060,06488,0.0,0.0,0.0,0.0
0446060,0699999,24.0,0.0,0.0,1.0
0446060,08216,0.0,0.0,0.0,0.0
0446060,0899999,9.0,0.0,0.0,0.0
0446060,09278,0.0,0.0,0.0,0.0
0446060,09408,0.0,0.0,0.0,0.0
0446060,0999999,0.0,0.0,0.0,0.0
0446060,1099999,0.0,0.0,0.0,0.0
0446060,1147900,2.0,0.0,0.0,0.0
0446060,1227260,0.0,0.0,0.0,0.0
0446060,1233100,45.0,0.0,0.0,0.0
0446060,12422,0.0,0.0,0.0,0.0
0446060,1245300,0.0,0.0,0.0,0.0
0446060,1299999,0.0,0.0,0.0,0.0
0446060,13122,16.0,0.0,0.0,0.0
